код;внешний код;наименование МС;чип у нашего поставщика;что у поставщиков с остатком;согласие поставщиков;варианты модели в ТК;вывод
1043sg;1043;Тонер-картридж Smart Graphics MLTD203L для Samsung SL-M3820, 3870, 402;с чипом;с чипом×3;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1043sp;1043;Тонер Картридж MLT-D203L 5k new chip SP;с чипом;с чипом×3;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1043sp;1043;Тонер Картридж MLT-D203L 5k new chip SP;с чипом;с чипом×3;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1043wb;1043;Картридж для Samsung MLT-D203L SL-M3820/3870/4020/4070 5K Новый ЧИП Wh;с чипом;с чипом×3;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1044oem;1044;Картридж Samsung MLT-D203E New Chip SL-M3820/3870/4020/4070/4072 10k C;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1044sf;1044;Картридж Samsung MLT-D203E New Chip SL-M3820/3870/4020/4070/4072 10k S;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1044sg;1044;Тонер-картридж Smart Graphics MLT-D203E для Samsung SL-M3820, 3870, 40;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1044sp;1044;Тонер Картридж MLT-D203E 10k new chip SP;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1044sp;1044;Тонер Картридж MLT-D203E 10k new chip SP;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1044wb;1044;Картридж для Samsung MLT-D203E SL-M3820/3870/4020/4070 10K Новый ЧИП W;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1049ep;1049;Картридж EasyPrint LS-K504 для Samsung CLP-415/CLX-4195/Xpress C1810W ;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1050ep;1050;Картридж EasyPrint LS-C504 для Samsung CLP-415/CLX-4195/Xpress C1810W ;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1051ep;1051;Картридж EasyPrint LS-M504 для Samsung CLP-415/CLX-4195/Xpress C1810W ;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1052ep;1052;Картридж EasyPrint LS-Y504 для Samsung CLP-415/CLX-4195/Xpress C1810W ;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1052t2;1052;TC-S504Y Картридж T2 для Samsung CLP-415/CLX-4195/Xpress C1810W (1800 ;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1070t2;1070;TC-SH235GT Тонер-картридж T2 для Sharp AR5618/5620/5623 (16000стр.) че;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1073ep;1073;Тонер-картридж EasyPrint LX-5330 для Xerox WorkCentre 5325/5330/5335 (;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1078ep;1078;7530B Тонер-картридж EasyPrint LX-7530B для Xerox WorkCentre 7525/7530;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1079ep;1079;7530Y Тонер-картридж EasyPrint LX-7530Y для Xerox WorkCentre 7525/7530;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1080ep;1080;7530M Тонер-картридж EasyPrint LX-7530M для Xerox WorkCentre 7525/7530;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1081ep;1081;7530C Тонер-картридж EasyPrint LX-7530C для Xerox WorkCentre 7525/7530;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
1095ep;1095;6500B Тонер-картридж EasyPrint LX-6500B для Xerox Phaser 6500/WorkCent;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
1095t2;1095;TC-X6500B Тонер-картридж T2 для Xerox Phaser 6500N/6500DN/WorkCentre 6;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
