поставщик;артикул;наименование;штук;документ;категория;код МС;внешний код (мусор);вариантов;вариант 1 код;вариант 1 наименование;вариант 1 вердикт;вариант 2 код;вариант 2 наименование;вариант 3 код;вариант 3 наименование
bulat;GFCNPFI104010;Струйный картридж БУЛАТ PFI-104M (3631B001) для Canon imagePROGRAF iPF650, iPF750 (Пурпурный, 130 мл) pigment;20.0;bulat_2026-08-18_p15;;;6u5yBXKTj8COa172aB2BI0;2;3723;Картридж для CANON  PFI-104M iPF650, iPF655, iPF750, iPF755, iPF760, iPF765 Magenta (130ml, Dye) MyInk;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, бренд";1240;Струйный картридж Sakura 0897B001 (PFI-102M) для Canon imagePROGRAF iPF500/ iPF510/ iPF600/ iPF605/ iPF610/ iPF650/ iPF655/ iPF700/ iPF710/ iPF720/ iPF750/ iPF755/ iPF760/ iPF765, пурпурный, 130 мл.;;;
bulat;GFCNPFI320040;Струйный картридж БУЛАТ PFI-320M (2892C001) для Canon imagePROGRAF TM-200, TM-300 (Пурпурный, 300 мл);20.0;bulat_2026-08-18_p14;;;xjTm24moiaAQhwG0iiU6r1;3;4051;Картридж струйный Cactus CS-PFI320M PFI-320 M пурп.пигм. (300мл) для Canon imagePROGRAF TM-200/TM-200 MFP L24ei/TM-205/TM-300 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";3562;Картридж струйный Cactus CS-PFI120M PFI-120 M пурп.пигм. (130мл) для Canon imagePROGRAF TM-200/TM-205/TM-300/TM-305 с чипом;1397;Картридж TN-320M CT;
bulat;GFCNPFI710020;Струйный картридж БУЛАТ PFI-710BK (2354C001), Чёрный, 700 мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;20.0;bulat_2026-08-18_p15;;;e41pu9AYh3lm29m7QwNQJ3;2;3676;Картридж струйный Cactus CS-PFI710BK PFI-710 BK черный пигментный (700мл) для Canon imagePROGRAF TX-2000/TX-3000/TX-4000 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";3681;Набор картриджей PFI-710 (2353C001-2357C001)*;;;
bulat;GFCNPFI710030;Струйный картридж БУЛАТ PFI-710C (2355C001) Голубой, 700мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;20.0;bulat_2026-08-18_p15;;;fEunAd2wh6ILd9EMtm1jk0;1;3677;IC-CPFI-710C Картридж T2 для Canon imagePROGRAF iPF-TX-2000/TX-3000/TX-4000, голубой, с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";;;;;
bulat;GFCNPFI710040;Струйный картридж БУЛАТ PFI-710M (2356C001), Пурпурный, 700 мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;20.0;bulat_2026-08-18_p15;;;7DmWbz2FjbxKvp05whayH2;1;3678;IC-CPFI-710M Картридж T2 для Canon imagePROGRAF iPF-TX-2000/TX-3000/TX-4000, пурпурный, с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";;;;;
bulat;GFCNPFI710050;Струйный картридж БУЛАТ PFI-710Y (2357C001) Жёлтый, 700 мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;20.0;bulat_2026-08-18_p15;;;Op2qkyNPgj2IAKVve6uaI2;1;3679;Картридж струйный Cactus CS-PFI710Y PFI-710 Y желт.пигм. (700мл) для Canon imagePROGRAF TX-2000/TX-3000/TX-4000 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";;;;;
bulat;GFEP0M5290010;Струйный картридж БУЛАТ Т9461, C13T946140 (XL) для Epson WorkForce Pro WF-C5290DW,  Чёрный (10000 стр.);50.0;bulat_2026-08-18_p11;;;5cZDVWQdhxHnbn3pkf0N60;3;3070;Картридж струйный Cactus CS-EPT9461 T9461 черный пигментный (180мл) для Epson WF-C5290DW/WF-C5790DW с чипом;из каталога ТК: цвет, ресурс/объём, бренд;3065;Картридж струйный Cactus CS-EPT9451 T9451 черный пигментный (90мл) для Epson WF-C5290DW/C5790DW с чипом;3518;Картридж струйный Cactus CS-EPT9441 T9441 черный пигментный (66мл) для Epson WorkForce WF-C5290DW/WF-C5790DW с чипом;
bulat;GFEP0M5298010;Струйный картридж БУЛАТ T9661, C13T966140 XXL для Epson WorkForce Pro WF-M5299, Чёрный (40000 стр.);200.0;bulat_2026-08-18_p11;;;aOEXLtwciqADiLZgK4nPf3;2;3442;Картридж Epson T9661 WorkForce Pro M5298/M5299/M5799 XXL Black SuperFine;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";3441;Картридж Epson T9651 WorkForce Pro M5298/M5299/M5799 XL Black SuperFine;;;
bulat;GFEPM20590010;Струйный картридж БУЛАТ C13T04Q100 для Epson WorkForce WF-M20590D4TW E-04Q1 (60000 стр.);20.0;bulat_2026-08-18_p13;;;oti9ZlO8gn6sSn6kilfp-0;0;;;;;;;;
bulat;GFEPSP7700010;Струйный картридж БУЛАТ T6361, C13T636100 Photo Black (700 мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;20.0;bulat_2026-08-18_p15;;;nQcNeGjZhlcpSaEMaKP7g1;4;1922;Струйный картридж Sakura C13T636100 (T6361 Photo Black) для Epson, фото-черный, 700 мл.;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, бренд";1911;Картридж T5961, черный BS;1931;Картридж струйный Cactus CS-EPT636A00 T636A оран.пигм. (700мл) для Epson Stylus PRO 7900/9900/WT7900/9900 с чипом;
bulat;GFEPSP7700020;Струйный картридж БУЛАТ T6362, C13T636200 Cyan (700мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;20.0;bulat_2026-08-18_p15;;;XTJM9fhiiF0XnokXZltsQ2;2;1923;Картридж струйный Cactus CS-EPT636200 T6362 голуб.пигм. (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";1912;Картридж T5962 BS;;;
bulat;GFEPSP7700030;Струйный картридж БУЛАТ T6363, C13T636300 Magenta (700мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;20.0;bulat_2026-08-18_p15;;;r79JuGX4hkqnjdttN311d2;2;1924;Картридж струйный Cactus CS-EPT636300 T6363 пурп.пигм. (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";1913;Картридж T5963 M BS;;;
bulat;GFEPSP7700040;Струйный картридж БУЛАТ T6364, C13T636400 Yellow (700мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;20.0;bulat_2026-08-18_p15;;;qKuq6ZvDiTSoT-In-ah3T0;2;1925;Картридж струйный Cactus CS-EPT636400 T6364 желт.пигм. (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";1914;Картридж T5964, желтый BS;;;
bulat;GFEPSP7700050;Струйный картридж БУЛАТ T6368 / C13T636800 Matte Black (700мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;20.0;bulat_2026-08-18_p15;;;SgNYCtxHgXmyno7-sYdvV0;2;1929;Картридж струйный Cactus CS-EPT636800 T6368 черный матовый (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";1918;Картридж T5968 черный матовый BS;;;
bulat;GFEPSP7890010;Струйный картридж БУЛАТ T6365, C13T636500 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Светло-голубой, 700 мл) pigment;20.0;bulat_2026-08-18_p15;;;7gMrTwEkhqhBQrdeqhx4x2;2;1926;Картридж струйный Cactus CS-EPT636500 T6365 св.голуб.пигм. (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";1915;Картридж T5965 светло-голубой BS;;;
bulat;GFEPSP7890020;Струйный картридж БУЛАТ T6366, C13T636600 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Светло-пурпурный, 700 мл) pigment;20.0;bulat_2026-08-18_p15;;;tEDvUeXqhO53wmWYRv40F1;2;1927;Картридж струйный Cactus CS-EPT636600 T6366 св.пурп.пигм. (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";1916;Картридж T5966, светло-пурпурный BS;;;
bulat;GFEPSP7890030;Струйный картридж БУЛАТ T6367, C13T636700 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Серый, 700 мл, pigment);20.0;bulat_2026-08-18_p15;;;pBuu2pjhhAzTNKCyhcXAx0;0;;;;;;;;
bulat;GFEPSP7890040;Струйный картридж БУЛАТ T6369, C13T636900 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Светло-серый, 700 мл, pigment);20.0;bulat_2026-08-18_p16;;;GWxIKheSgvFhbGVaHkIMH1;1;1930;Картридж струйный Cactus CS-EPT636900 T6369 св.сер.пигм. (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, бренд";;;;;
bulat;GFEPWF6090020;Струйный картридж БУЛАТ T9072, C13T907240 для Epson WorkForce Pro WF-6090, WF-6590 (Голубой, XXL, 7000 стр., 90 мл);50.0;bulat_2026-08-18_p14;;;bJghpGbSiCpDllOmn1r6F0;2;3508;IC-ET9072 Картридж T2 для Epson WorkForce WF-6090/6590 (7000 стр.) голубой, с чипом;из каталога ТК: цвет, ресурс/объём, бренд;3238;Струйный картридж БУЛАТ T9082, C13T908240 для Epson WorkForce Pro WF-6090, WF-6590 (Голубой, XL, 4000 стр. 62 мл);;;
bulat;GFEPWF8190010;Струйный картридж БУЛАТ T04A1, C13T04A140 для Epson WorkForce Pro WF-C8190, WF-C8690 (Чёрный, XXL,11500 стр., 240 мл);50.0;bulat_2026-08-18_p14;;;75YH7Db6jYrfrZySkjNTC3;2;3791;Картридж струйный Cactus CS-EPT04A140 T04A1 черный пигментный (230мл) для Epson WorkForce Pro WF-C8190, WF-C8690 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;3796;Картридж струйный Cactus CS-EPT04B140 T04B1 черный пигментный (120мл) для Epson WorkForce Pro WF-C8190, WF-C8690 с чипом;;;
bulat;GFEPWF8190030;Струйный картридж БУЛАТ T04A3, C13T04A340 для Epson WorkForce Pro WF-C8190, WF-C8690 (Пурпурный, XXL, 8000 стр.);20.0;bulat_2026-08-18_p14;;;HGHsmj33jMnwh2x00tK8R1;2;3793;Картридж струйный Cactus CS-EPT04A340 T04A3 пурп.пигм. (85мл) для Epson WorkForce Pro WF-C8190, WF-C8690 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;3798;Картридж струйный Cactus CS-EPT04B340 T04B3 пурп.пигм. (54мл) для Epson WorkForce Pro WF-C8190, WF-C8690 с чипом;;;
bulat;GFEPWF8190040;Струйный картридж БУЛАТ T04A4, C13T04A440 для Epson WorkForce Pro WF-C8190, WF-C8690 (Жёлтый, XXL, 8000 стр., 90 мл);50.0;bulat_2026-08-18_p14;;;Igofs5fNhy1OuVqv6FDLd3;2;3794;Картридж струйный Cactus CS-EPT04A440 T04A4 желт.пигм. (85мл) для Epson WorkForce Pro WF-C8190, WF-C8690 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;3799;Картридж струйный Cactus CS-EPT04B440 T04B4 желт.пигм. (54мл) для Epson WorkForce Pro WF-C8190, WF-C8690 с чипом;;;
bulat;GFEPWF8190060;Струйный картридж БУЛАТ T04B2, C13T04B240 для Epson WorkForce Pro WF-C8190, WF-C8610, WF-C8690 (Голубой, XL, 4600 стр.);50.0;bulat_2026-08-18_p14;;;rww4uhKciF4XjHz9Zncxk3;2;3797;Картридж струйный Cactus CS-EPT04B240 T04B2 голуб.пигм. (54мл) для Epson WorkForce Pro WF-C8190, WF-C8690 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;3792;IC-ET04A240 Картридж T2 для Epson WorkForce Pro WF-C8610/C8690/C8190 (8000 стр.) голубой, с чипом;;;
bulat;GFEPWF8190070;Струйный картридж БУЛАТ T04B3, C13T04B340 для Epson WorkForce Pro WF-C8190, WF-C8610, WF-C8690 (Пурпурный, XL, 4600 стр., 62 мл);50.0;bulat_2026-08-18_p14;;;qd0yulq2gMHPHNf-O9ppT1;2;3798;Картридж струйный Cactus CS-EPT04B340 T04B3 пурп.пигм. (54мл) для Epson WorkForce Pro WF-C8190, WF-C8690 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;3793;IC-ET04A340 Картридж T2 для Epson WorkForce Pro WF-C8610/C8690/C8190 (8000 стр.) пурпурный, с чипом;;;
bulat;GFEPWF8190080;Струйный картридж БУЛАТ T04B4, C13T04B440 для Epson WorkForce Pro WF-C8190, WF-C8610, WF-C8690 (Жёлтый, XL, 4600 стр., 62мл);50.0;bulat_2026-08-18_p14;;;oaZHmf4EgI3iWR-SNhnzP3;2;3799;Картридж струйный Cactus CS-EPT04B440 T04B4 желт.пигм. (54мл) для Epson WorkForce Pro WF-C8190, WF-C8690 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;3794;IC-ET04A440 Картридж T2 для Epson WorkForce Pro WF-C8610/C8690/C8190 (8000 стр.) желтый, с чипом;;;
bulat;GFEPWFC869020;Струйный картридж БУЛАТ Т9732, C13T973200 для Epson WorkForce Pro WF-C869 (Голубой, 22000 стр., 192 мл);50.0;bulat_2026-08-18_p14;;;6fGJmN8Pi90rR5LduNEDc1;2;4501;C13T973200 (T9732 C) контейнер с чернилами Sakura для Epson, голубой , 22000 к.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";5008;$_СРОЧНО IC-ET9742 Картридж T2 для Epson WorkForce WF-C869 (84000 стр.) голубой, с чипом;;;
bulat;GFEPWFC869030;Струйный картридж БУЛАТ Т9733, C13T973300 для Epson WorkForce Pro WF-C869 (Пурпурный, 22000 стр., 192 мл);50.0;bulat_2026-08-18_p14;;;KloXJyVWhfV6E0ub103RH3;2;4502;C13T973300 (T9733 M) контейнер с чернилами Sakura для Epson, пурпурный , 22000 к.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";5009;IC-ET9743 Картридж T2 для Epson WorkForce WF-C869 (84000 стр.) пурпурный, с чипом;;;
bulat;GFEPWFC869040;Струйный картридж БУЛАТ Т9734, C13T973400 для Epson WorkForce Pro WF-C869 (Жёлтый, 22000 стр., 192 мл);50.0;bulat_2026-08-18_p14;;;zFtsHoYEiMH8OjDrY3-0Z2;2;4503;C13T973400 (T9734 Y) контейнер с чернилами Sakura для Epson, желтый , 22000 к.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";5010;$_СРОЧНО IC-ET9744 Картридж T2 для Epson WorkForce WF-C869 (84000 стр.) желтый, с чипом;;;
bulat;GFEPWFC869050;Струйный картридж БУЛАТ Т9741, C13T974100 (XXL) Чёрный, 86000 стр., pigment для Epson WorkForce Pro WF-C869;50.0;bulat_2026-08-18_p15;;;ezYYSu6eiftGasJ6Hm3wi3;3;5007;IC-ET9741 Картридж T2 для Epson WorkForce WF-C869 (86000 стр.) черный, с чипом;из каталога ТК: цвет, ресурс/объём, бренд;5011;Набор совместимых картриджей T9741 - T9744 (C13T974100 - C13T974400), увеличенный ресурс;6366;Струйный картридж Epson WorkForce Pro WF-C869 Т9731/C13T973100 (XL) Black (22.5k/402мл);
bulat;GFEPWFC878010;Струйный картридж БУЛАТ T05A1, C13T05A100 для Epson WorkForce Pro WF-C878, WF-C879 (Чёрный, 20000 стр., 420 мл);50.0;bulat_2026-08-18_p14;;;lhxJSuSkg-JMg2GI4RsmG1;1;3881;Картридж струйный Cactus CS-EPT05A100 T05A1 черный пигментный (440мл) для Epson WorkForce Pro WF-C878/C879 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;;;;;
bulat;GFEPWFC878020;Струйный картридж БУЛАТ T05A2, C13T05A200 для Epson WorkForce Pro WF-C878, WF-C879 (Голубой, 20000 стр., 220 мл);20.0;bulat_2026-08-18_p14;;;rG1gwB2KjLijjAswRV1hJ3;1;3882;Картридж струйный Cactus CS-EPT05A200 T05A2 голуб.пигм. (215мл) для Epson WorkForce Pro WF-C878/C879 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;;;;;
