код;внешний код;наименование МС;Название WB (соберём);бренды ТК
;0779;Совместимый картридж SolutionPrint CE742A;Картридж CE742A для HP 307A желтый;HP
0779cs;0779;Картридж лазерный G&G GG-CE742A желтый (7300стр.) для HP LJ CP5220/CP5221/CP5223/CP5225;Картридж CE742A для HP 307A желтый;HP
;0780;Совместимый картридж SolutionPrint CE743A;Картридж CE743A для HP 307A пурпурный;HP
0780cs;0780;Картридж лазерный G&G GG-CE743A пурпурный (7300стр.) для HP LJ CP5220/CP5221/CP5223/CP5225;Картридж CE743A для HP 307A пурпурный;HP
0781cs;0781;Картридж лазерный G&G GG-TK1110 черный (2500стр.) для Kyocera FS-1020MFP/1040/1120MFP;Картридж TK-1110 для Kyocera черный;Kyocera
0782cs;0782;Картридж лазерный G&G GG-TK1120 черный (3000стр.) для Kyocera FS-1025MFP/1060/1125MFP;Картридж TK-1120 для Kyocera черный;Kyocera
0782or;0782;Картридж TK-1120 OR;Картридж TK-1120 для Kyocera черный;Kyocera
;0783;Совместимый картридж SolutionPrint CF350A;Картридж CF350A для HP 130A черный;HP
;0783;Совместимый картридж Colortek CF350A;Картридж CF350A для HP 130A черный;HP
;0783;Картридж для HP Color LJ M176/M177 MFP CF350A (130A) ч (1,3K) UNITON Premium;Картридж CF350A для HP 130A черный;HP
;0783;Совместимый картридж Cactus CS-CF350A;Картридж CF350A для HP 130A черный;HP
0783-or;0783;Картридж CF350A 130A черный OR;Картридж CF350A для HP 130A черный;HP
0783cs;0783;Картридж лазерный G&G GG-CF350A черный (1300стр.) для HP CLJ Pro MFP M176/M176FN/M177/M177FW;Картридж CF350A для HP 130A черный;HP
;0784;Совместимый картридж SolutionPrint CF351A;Картридж CF351A для HP 130A голубой;HP
;0784;Совместимый картридж Colortek CF351A;Картридж CF351A для HP 130A голубой;HP
0784cs;0784;Картридж лазерный G&G GG-CF351A голубой (1000стр.) для HP CLJ Pro MFP M176/M176FN/M177/M177FW;Картридж CF351A для HP 130A голубой;HP
;0785;Совместимый картридж SolutionPrint CF352A;Картридж CF352A для HP 130A желтый;HP
;0785;Совместимый картридж Colortek CF352A;Картридж CF352A для HP 130A желтый;HP
0785cs;0785;Картридж лазерный G&G GG-CF352A желтый (1000стр.) для HP CLJ Pro MFP M176/M176FN/M177/M177FW;Картридж CF352A для HP 130A желтый;HP
;0786;Совместимый картридж SolutionPrint CF353A;Картридж CF353A для HP 130A пурпурный;HP
;0786;Совместимый картридж Colortek CF353A;Картридж CF353A для HP 130A пурпурный;HP
0786cs;0786;Картридж лазерный G&G GG-CF353A пурпурный (1000стр.) для HP CLJ Pro MFP M176/M176FN/M177/M177FW;Картридж CF353A для HP 130A пурпурный;HP
;0787;Совместимый картридж ProfiLine 106R01634;Картридж 106R01634 для Xerox черный;Xerox
;0787;Совместимый картридж Colortek 106R01634;Картридж 106R01634 для Xerox черный;Xerox
;0787;Совместимый картридж NVP 106R01634;Картридж 106R01634 для Xerox черный;Xerox
;0788;Совместимый картридж ProfiLine 106R01633;Картридж 106r01633 для Xerox желтый;Xerox
;0788;Совместимый картридж Colortek 106R01633;Картридж 106r01633 для Xerox желтый;Xerox
;0788;Совместимый картридж NVP 106R01633;Картридж 106r01633 для Xerox желтый;Xerox
;0789;Совместимый картридж ProfiLine 106R01632;Картридж 106r01632 для Xerox пурпурный;Xerox
;0789;Совместимый картридж Colortek 106R01632;Картридж 106r01632 для Xerox пурпурный;Xerox
;0789;Совместимый картридж NVP 106R01632;Картридж 106r01632 для Xerox пурпурный;Xerox
;0790;Совместимый картридж ProfiLine 106R01631;Картридж 106r01631 для Xerox голубой;Xerox
;0790;Совместимый картридж Colortek 106R01631;Картридж 106r01631 для Xerox голубой;Xerox
;0790;Совместимый картридж NVP 106R01631;Картридж 106r01631 для Xerox голубой;Xerox
;0792;Совместимый картридж Cactus CS-CLT-K406S;Картридж CLT-K406S для Samsung черный;Samsung
0792cs;0792;Картридж лазерный G&G GG-K406S черный (1500стр.) для Samsung CLP-360/362/363/365/367/368, CLX-3300/3302/3303/3304/3305/3307;Картридж CLT-K406S для Samsung черный;Samsung
;0793;Совместимый картридж Cactus CS-CLT-C406S;Картридж CLT-C406S для Samsung голубой;Samsung
;0794;Совместимый картридж Cactus CS-CLT-M406S;Картридж CLT-M406S для Samsung пурпурный;Samsung
;0795;Совместимый картридж Cactus CS-CLT-Y406S;Картридж CLT-Y406S для Samsung желтый;Samsung
;0797;Совместимый картридж Colortek C8771HE;Картридж 177C для HP C8771HE голубой;HP
;0798;Совместимый картридж Colortek C8772HE;Картридж 177M для HP C8772HE пурпурный;HP
;0799;Совместимый картридж Colortek C8773HE;Картридж 177Y для HP C8773HE желтый;HP
;0800;Совместимый картридж Colortek C8774HE;Картридж 177LC для HP C8774HE светло-голубой;HP
;0801;Совместимый картридж MyInk 177LM;Картридж 177LM для HP C8775HE светло-пурпурный;HP
;0801;Совместимый картридж Colortek C8775HE;Картридж 177LM для HP C8775HE светло-пурпурный;HP
0809cs;0809;"Картридж лазерный G&G GG-CE411A голубой (2600стр.) для HP LJ Pro 300 color M351a/MFP M375nw;Pro 400 color Printer M451nw/MFP M475d/";Картридж CE411A для HP 305A голубой с чипом;HP
0810cs;0810;"Картридж лазерный G&G GG-CE412A желтый (2600стр.) для HP LJ Pro 300 color M351a/MFP M375nw;Pro 400 color Printer M451nw/MFP M475d/";Картридж CE412A для HP 305A желтый с чипом;HP
0811cs;0811;"Картридж лазерный G&G GG-CE413A пурпурный (2600стр.) для HP LJ Pro 300 color M351a/MFP M375nw;Pro 400 color Printer M451nw/MFP M475d/";Картридж CE413A для HP 305A пурпурный с чипом;HP
;0812;Совместимый картридж Colortek CE320A;Картридж CE320A для HP 128A черный;HP
;0813;Совместимый картридж Colortek CF211A;Картридж CE321A для HP 128A голубой;HP
;0816;Совместимый картридж Colortek MLT-D115L;Картридж MLT-D115L для Samsung черный с чипом;Samsung
0816cs;0816;Картридж лазерный G&G GG-D115L черный (3000стр.) для Samsung Samsung Xpress SL-M2620/2820/M2670/2870;Картридж MLT-D115L для Samsung черный с чипом;Samsung
;0817;Набор совместимых картриджей Cactus №177;Набор картриджей 177XL для HP XL ресурс;HP
;0818;Совместимый Фото картридж Colortek CLI-451BKXL;Картридж CLI-451BK для Canon 6523B001 черный XL ресурс;Canon
0818cs;0818;Картридж струйный G&G GG-CLI451XLBK черный (10.2мл) для Canon MG6340/5440/IP7240;Картридж CLI-451BK для Canon 6523B001 черный XL ресурс;Canon
;0819;Совместимый картридж SuperFine CLI-451CXL;Картридж CLI-451C для Canon 6524B001 голубой XL ресурс;Canon
;0819;Совместимый картридж Colortek CLI-451CXL;Картридж CLI-451C для Canon 6524B001 голубой XL ресурс;Canon
0819cs;0819;Картридж струйный G&G GG-CLI451XLC голубой (10.2мл) для Canon MG6340/5440/IP7240;Картридж CLI-451C для Canon 6524B001 голубой XL ресурс;Canon
;0820;Совместимый картридж SuperFine CLI-451MXL;Картридж CLI-451M для Canon 6525B001 пурпурный XL ресурс;Canon
;0820;Совместимый картридж Colortek CLI-451MXL;Картридж CLI-451M для Canon 6525B001 пурпурный XL ресурс;Canon
;0821;Совместимый картридж SuperFine CLI-451YXL;Картридж CLI-451Y для Canon 6526b001 желтый XL ресурс;Canon
;0821;Совместимый картридж Colortek CLI-451YXL;Картридж CLI-451Y для Canon 6526b001 желтый XL ресурс;Canon
;0821;Совместимый картридж InkTec CLI-451YXL;Картридж CLI-451Y для Canon 6526b001 желтый XL ресурс;Canon
0821cs;0821;Картридж струйный G&G GG-CLI451XLY желтый (10.2мл) для Canon MG6340/5440/IP7240;Картридж CLI-451Y для Canon 6526b001 желтый XL ресурс;Canon
;0822;Совместимый картридж SuperFine CLI-451GYXL;Картридж CLI-451GY для Canon 6527B001 серый XL ресурс;Canon
;0822;Совместимый картридж Colortek CLI-451GYXL;Картридж CLI-451GY для Canon 6527B001 серый XL ресурс;Canon
;0823;Совместимый картридж SuperFine PGI-450PGBK;Картридж PGI-450PGBK для Canon 6499B001 черный XL ресурс;Canon
;0823;Совместимый картридж InkTec PGI-450PGBK;Картридж PGI-450PGBK для Canon 6499B001 черный XL ресурс;Canon
